frame,ear,threshold,mov_ear_3,mov_ear_5,mov_ear_7
0,1.0,0,,,
1,1.0,0,,,
2,1.0,0,1.0,,
3,1.0,0,1.0,1.0,
4,1.0,0,1.0,1.0,1.0
5,1.0,0,1.0,1.0,1.0
6,1.0,0,1.0,1.0,1.0
7,1.0,0,1.0,1.0,1.0
8,1.0,0,1.0,1.0,1.0
9,1.0,0,1.0,1.0,1.0
10,1.0,0,1.0,1.0,1.0
11,1.0,0,1.0,1.0,1.0
12,1.0,0,1.0,1.0,1.0
13,1.0,0,1.0,1.0,1.0
14,1.0,0,1.0,1.0,1.0
15,1.0,0,1.0,1.0,1.0
16,1.0,0,1.0,1.0,1.0
17,1.0,0,1.0,1.0,1.0
18,1.0,0,1.0,1.0,1.0
19,1.0,0,1.0,1.0,1.0
20,1.0,0,1.0,1.0,1.0
21,1.0,0,1.0,1.0,1.0
22,1.0,0,1.0,1.0,1.0
23,1.0,0,1.0,1.0,1.0
24,1.0,0,1.0,1.0,1.0
25,1.0,0,1.0,1.0,1.0
26,1.0,0,1.0,1.0,1.0
27,1.0,0,1.0,1.0,1.0
28,1.0,0,1.0,1.0,1.0
29,1.0,0,1.0,1.0,1.0
30,1.0,0,1.0,1.0,1.0
31,1.0,0,1.0,1.0,1.0
32,1.0,0,1.0,1.0,1.0
33,1.0,0,1.0,1.0,1.0
34,1.0,0,1.0,1.0,1.0
35,1.0,0,1.0,1.0,1.0
36,1.0,0,1.0,1.0,1.0
37,1.0,0,1.0,1.0,1.0
38,1.0,0,1.0,1.0,1.0
39,1.0,0,1.0,1.0,1.0
40,1.0,0,1.0,1.0,1.0
41,1.0,0,1.0,1.0,1.0
42,1.0,0,1.0,1.0,1.0
43,1.0,0,1.0,1.0,1.0
44,1.0,0,1.0,1.0,1.0
45,1.0,0,1.0,1.0,1.0
46,1.0,0,1.0,1.0,1.0
47,1.0,0,1.0,1.0,1.0
48,1.0,0,1.0,1.0,1.0
49,1.0,0,1.0,1.0,1.0
50,1.0,0,1.0,1.0,1.0
51,1.0,0,1.0,1.0,1.0
52,1.0,0,1.0,1.0,1.0
53,1.0,0,1.0,1.0,1.0
54,1.0,0,1.0,1.0,1.0
55,1.0,0,1.0,1.0,1.0
56,1.0,0,1.0,1.0,1.0
57,1.0,0,1.0,1.0,1.0
58,1.0,0,1.0,1.0,1.0
59,1.0,0,1.0,1.0,1.0
60,1.0,0,1.0,1.0,1.0
61,1.0,0,1.0,1.0,1.0
62,1.0,0,1.0,1.0,1.0
63,1.0,0,1.0,1.0,1.0
64,1.0,0,1.0,1.0,1.0
65,1.0,0,1.0,1.0,1.0
66,1.0,0,1.0,1.0,1.0
67,1.0,0,1.0,1.0,1.0
68,1.0,0,1.0,1.0,1.0
69,1.0,0,1.0,1.0,1.0
70,1.0,0,1.0,1.0,1.0
71,1.0,0,1.0,1.0,1.0
72,1.0,0,1.0,1.0,1.0
73,1.0,0,1.0,1.0,1.0
74,1.0,0,1.0,1.0,1.0
75,1.0,0,1.0,1.0,1.0
76,1.0,0,1.0,1.0,1.0
77,1.0,0,1.0,1.0,1.0
78,1.0,0,1.0,1.0,1.0
79,1.0,0,1.0,1.0,1.0
80,1.0,0,1.0,1.0,1.0
81,1.0,0,1.0,1.0,1.0
82,1.0,0,1.0,1.0,1.0
83,1.0,0,1.0,1.0,1.0
84,1.0,0,1.0,1.0,1.0
85,1.0,0,1.0,1.0,0.8857142857142861
86,1.0,0,1.0,0.8400000000000005,0.7485714285714299
87,0.19999999999999996,0,0.7333333333333343,0.6480000000000018,0.6640000000000015
88,0.039999999999999925,0,0.4133333333333364,0.5296000000000021,0.6470857142857166
89,0.4079999999999999,1,0.21600000000000344,0.5059200000000033,0.6437028571428597
90,0.8815999999999999,0,0.4432000000000045,0.5011840000000035,0.6430262857142891
91,0.97632,0,0.7553066666666695,0.6602368000000041,0.642890971428575
92,0.9952639999999999,0,0.9510613333333376,0.8520473600000031,0.757149622857146
93,0.9990528000000001,0,0.9902122666666694,0.9704094720000029,0.8942870674285744
94,0.99981056,0,0.9980424533333357,0.9940818944000028,0.978857413485717
95,0.999962112,0,0.999608490666669,0.9988163788800023,0.995771482697145
96,0.9999924224000001,0,0.9999216981333348,0.9997632757760015,0.9991542965394302
97,0.9999984844800001,0,0.9999843396266689,0.9999526551552009,0.9998308593078856
98,0.999999696896,0,0.9999968679253328,0.9999905310310396,0.9999661718615768
99,0.9999999393792001,0,0.9999993735850646,0.9999981062062062,0.9999932343723158
100,0.99999998787584,0,0.9999998747170101,0.9999996212412412,0.9999986468744636
101,0.999999997575168,0,0.999999974943402,0.9999999242482488,0.9999997293748939
102,0.9999999995150336,0,0.9999999949886842,0.9999999848496515,0.9999999458749796
103,0.9999999999030067,0,0.9999999989977416,0.9999999969699331,0.9999999891749971
104,0.9999999999806013,0,0.9999999997995511,0.9999999993939894,0.9999999978350006
105,0.9999999999961202,0,0.9999999999599112,0.9999999998787985,0.9999999995670014
106,0.9999999999992241,0,0.9999999999919803,0.9999999999757592,0.999999999913401
107,0.9999999999998448,0,0.9999999999983942,0.9999999999951512,0.9999999999826811
108,0.9999999999999689,0,0.9999999999996779,0.9999999999990308,0.9999999999965367
109,0.9999999999999938,0,0.9999999999999384,0.9999999999998067,0.9999999999993078
110,0.9999999999999987,0,0.9999999999999906,0.999999999999963,0.999999999999862
111,0.9999999999999998,0,1.0,0.9999999999999943,0.9999999999999736
112,1.0,0,1.0,1.0,0.9999999999999959
113,1.0,0,1.0,1.0,1.0
114,1.0,0,1.0,1.0,1.0
115,1.0,0,1.0,1.0,1.0
116,1.0,0,1.0,1.0,1.0
117,1.0,0,1.0,1.0,1.0
118,1.0,0,1.0,1.0,1.0
119,1.0,0,1.0,1.0,1.0
120,1.0,0,1.0,1.0,1.0
121,1.0,0,1.0,1.0,1.0
122,1.0,0,1.0,1.0,1.0
123,1.0,0,1.0,1.0,1.0
124,1.0,0,1.0,1.0,1.0
125,1.0,0,1.0,1.0,1.0
126,1.0,0,1.0,1.0,1.0
127,1.0,0,1.0,1.0,1.0
128,1.0,0,1.0,1.0,1.000000000000002
129,1.0,0,1.0,1.0000000000000029,1.000000000000002
130,1.0,0,1.0000000000000047,1.0000000000000029,1.000000000000002
131,1.0,0,1.0000000000000047,1.0000000000000029,1.000000000000002
132,1.0,0,1.0000000000000047,1.0000000000000029,1.000000000000002
133,1.0,0,1.0,1.0000000000000029,1.000000000000002
134,1.0,0,1.0,1.0,0.9428571428571441
135,1.0,0,1.0,0.9199999999999988,0.817142857142857
136,0.6,0,0.8666666666666648,0.7439999999999998,0.7920000000000016
